date,Exports,Food,Beverages and tobacco,Crude materials,Mineral fuel and lubricant,Animal and vegetable oils and fats,Chemicals,Manufactured goods,Machinery,Miscellaneous manufactured goods,Miscellaneous transactions and commodities,Re-exports 1/
1995-01-31,99967.66,20761.53,267.2,7115.78,643.21,70.07,3499.4,11425.35,29661.84,25098.28,1138.73,286.27
1995-02-28,99718.05,20045.32,285.84,6764.47,1267.39,84.74,4102.98,10950.71,31484.79,23733.64,878.39,119.76
1995-03-31,128892.61,26498.59,392.87,7700.59,1310.48,85.44,4762.98,15884.52,40543.63,30056.71,1501.91,154.88
1995-04-30,100018.79,21696.83,285.28,6084.33,994.51,25.63,4252.56,11190.23,32110.82,22280.98,922.8,174.82
1995-05-31,119277.38,27013.3,275.78,7179.5,725.36,33.24,6361.54,13115.51,38287.04,24791.06,1337.55,157.51
1995-06-30,122970.72,23495.42,330.48,7846.6,804.87,42.69,4067.9,14014.53,41050.05,30198.94,956.87,162.37
1995-07-31,114410.63,20963.25,371.1,7125.5,620.34,58.39,3686.13,12954.39,37957.33,28972.26,1556.29,145.66
1995-08-31,121684.37,20091.93,367.12,6764.14,481.4,23.26,4928.5,14285.73,42336.49,31028.93,1122.53,254.34
1995-09-30,126233.8,22041.21,234.3,5587.05,748.61,66.9,6294.39,14797.12,43440.23,31787.19,1054.61,182.19
1995-10-31,121464.55,19885.15,283.81,6632.11,926.8,33.73,6895.34,14611.17,40895.27,30130.52,982.43,188.22
1995-11-30,130323.12,22131.06,266.22,6393.44,824.78,43.41,8176.14,15711.16,45552.23,30112.99,783.1,328.58
1995-12-31,121348.41,21729.78,217.68,6655.57,651.26,25.91,4670.67,15309.55,43867.01,26756.37,1256.56,208.06
1996-01-31,113457.13,22662.17,242.98,8125.68,655.93,27.63,3863.7,13008.14,41787.11,21121.37,1770.47,191.93
1996-02-29,118110.59,25205.82,254.02,7659.07,1430.42,18.99,3392.81,12718.66,44825.57,21398.21,1056.55,150.45
1996-03-31,123335.6,25185.09,597.96,7428.19,1233.73,32.49,4291.19,14642.72,46645.48,22204.94,910.34,163.46
1996-04-30,107314.54,23515.76,364.7,5234.88,1022.08,28.95,4091.76,12582.43,40501.64,18290.85,1540.23,141.26
1996-05-31,126572.15,27765.85,395.28,5613.99,1165.15,35.6,4000.58,15695.89,46575.66,23016.58,2145.84,161.72
1996-06-30,111462.44,20723.74,550.41,5949.66,1815.85,25.03,3470.84,13691.26,42499.31,21585.1,924.28,226.95
1996-07-31,113829.76,21807.34,750.64,6718.46,1431.29,31.06,3763.77,14249.43,40694.05,22303.07,1919.18,161.48
1996-08-31,120772.73,22285.66,442.38,7598.4,2394.95,24.45,3990.98,14533.7,43782.52,23923.89,1526.01,269.78
1996-09-30,115066.42,20082.86,519.66,7383.64,1892.85,23.46,4318.2,14281.26,42770.03,22113.11,1307.52,373.81
1996-10-31,118777.75,20970.11,489.17,6206.31,3299.33,27.54,4566.9,14763.94,44902.35,22252.83,1068.64,230.63
1996-11-30,124156.44,22839.81,384.04,7499.64,3125.89,41.5,4550.38,14553.92,45943.15,23098.15,1836.85,283.1
1996-12-31,119255.09,20052.59,337.51,6372.33,3700.09,111.42,3912.78,14138.98,45885.4,23204.52,1303.54,235.92
1997-01-31,118901.01,22241.51,348.75,7535.37,3553.26,70.22,4149.72,13616.7,44534.48,21113.4,1541.21,196.39
1997-02-28,112136.23,18883.97,385.1,6415.02,2649.77,67.43,3872.06,12801.04,44806.04,19261.36,2450.41,544.04
1997-03-31,129767.52,24110.27,488.55,6771.3,2086.17,82.93,4838.34,15549.43,51261.7,21615.54,2718.44,244.84
1997-04-30,113073.29,21434.43,398.06,5245.86,2676.72,55.34,4532.33,13838.82,43397.88,18737.17,2330.03,426.64
1997-05-31,127651.92,24347.61,443.25,5068.33,3078.47,63.44,5121.84,15445.08,48200.67,22546.38,2563.51,773.33
1997-06-30,122533.08,23178.6,950.47,4859.07,1712.74,71.71,5196.93,14954.4,47797.33,21687.16,1835.15,289.51
1997-07-31,143956.46,26342.9,442.01,6842.38,2106.53,34.66,6064.71,17166.25,56158.33,26327.46,2156.62,314.6
1997-08-31,156230.14,27928.99,620.87,6554.21,2915.75,67.45,6595.1,17620.17,61682.84,28286.79,3362.31,595.65
1997-09-30,180947.6,31789.42,644.8,7987.87,3453.96,149.09,8309.85,20890.02,70571.94,31469.42,5213.17,468.08
1997-10-31,193096.45,33221.32,733.39,7279.18,5084,399.51,9246.66,21807.16,72232.34,33563.51,8913.7,615.69
1997-11-30,190807.89,31367.9,497.11,8698.7,6821.2,421.69,8724.39,20421.48,71600.72,32598.19,8949.49,707.03
1997-12-31,217598.07,37555.36,469.86,8879.41,6184.92,755.63,9990.27,25101.17,79588.96,36658.15,11490.4,923.95
1998-01-31,219134.86,40125.19,364.28,10229.24,4296.58,502.24,8934.24,23049.87,78155.96,37061.38,15536.49,879.39
1998-02-28,220855.21,43539.02,403.8,10639.36,3318.52,346.63,9662.26,24545.46,83611.46,35310.34,8726.55,751.81
1998-03-31,207118.91,36712.69,489.77,9607.35,3113.31,158.52,9459.99,23508.36,84486.99,32690.1,6120.08,771.75
1998-04-30,169459.34,31868.81,500.34,5505.75,2984,175.2,8123.85,20303.28,63851.33,28233.67,7310.57,602.56
1998-05-31,166457.68,27913.53,653.39,5484.57,2155.96,184.76,7678.84,20463.37,65881.76,30061.94,5258.02,721.54
1998-06-30,191532.9,30355.13,810.8,7167.2,3059.02,259.03,8768.98,22781.29,76043.54,33103.1,8702.21,482.6
1998-07-31,192423.21,32653.1,673.38,7466.43,3399.77,108.43,8575.15,22326.73,73094.3,36478.92,7327.83,319.18
1998-08-31,178269.09,28615.06,630.06,7181.74,3353.61,219.99,7951.52,20626.04,71381.96,32469.36,5585.56,254.2
1998-09-30,190391.72,29029.77,740.18,7016.52,2532.55,150.3,8247.46,21176.75,82098.86,30857.22,8250.93,291.19
1998-10-31,178678.77,30060.75,297.32,6503.9,2915.01,65.51,7342.47,20761.39,73257.29,30919.66,6098.78,456.7
1998-11-30,166454.87,30603.56,367.56,5711.75,1294.89,60.81,7681.44,18571.96,68477.38,26623.48,6774.2,287.83
1998-12-31,167544.63,29577.88,478.06,5915.53,1953.81,55.86,7201.33,19761.61,68303.14,28783.61,5110.78,403.02
1999-01-31,148152.63,26722.4,339.47,5502.8,2352.64,18.17,6764.54,16809.69,60279.89,24963.8,4220.39,178.83
1999-02-28,155134.36,25474.8,367.11,5997.12,2405.45,31.75,6933.72,17768.66,64969.58,24965.59,5983.94,236.65
1999-03-31,177909.19,29760.52,798.56,6515.73,2776.41,56.02,8472.1,21296.64,75071.55,27420.41,5527.98,213.28
1999-04-30,169803.41,30790.33,526.01,5700.8,2940.64,148.06,8454.95,19886.37,68550.08,26300.84,6210.05,295.3
1999-05-31,172485.6,29535.96,438.67,5168.86,3417.12,276.91,8925.34,20128.94,71538.92,28077.95,4192.65,784.26
1999-06-30,176974.48,28759.37,522.49,5676.87,2979.06,296.33,8733.62,21067.02,77098.29,29249.31,2191.69,400.43
1999-07-31,185812.23,31586,693.01,6582.35,3334.11,265.58,10028.38,21954.71,74626.19,31933.37,4467.38,341.16
1999-08-31,186518.34,31159.06,459.36,6423.91,3001.16,145.67,10151.08,22210.39,77969.93,29924.63,4712.36,360.79
1999-09-30,200764.3,32800.79,420.64,6818.54,2482.85,364.63,11191.44,22719.92,84053.03,31504.67,7943.23,464.55
1999-10-31,222871.95,36066.41,386.71,8158.63,3341.7,374.66,11499.06,25310.37,90033.33,35205.81,11946.9,548.37
1999-11-30,212844.01,33369.39,602.25,8593.48,4955.2,459.03,10811.47,22906.6,89769.43,32124.57,8654,598.61
1999-12-31,205909.43,32380.49,484.88,9394.82,6323.97,342.04,10972.49,24342.33,84025.22,32825.81,4448.99,368.39
2000-01-31,206162.35,28066.9,379.36,9765.58,4353.02,236.46,13457.12,23715.28,86694.68,32725.82,6121.94,646.18
2000-02-29,203108.58,27443.38,433,9400.45,4822.73,252.3,13119.71,25098.65,87344.11,30284.54,4595.07,314.64
2000-03-31,218511.49,30182.21,956.84,7030.76,7062.64,165.31,13745.7,27121.97,92139.45,31820.46,8068.31,217.84
2000-04-30,197721.48,27412.11,597.79,10092.5,5842.96,497.67,9830.6,24322.89,84939.44,29631.33,4302.83,251.37
2000-05-31,200087.69,26071.59,345.33,7823.06,5317.1,165.36,12593.07,25291.44,87348.79,29874.28,5024.45,233.23
2000-06-30,217122.72,31918.57,343.56,8993.78,3971.55,106.59,14160.08,26687.25,90010.96,35382.24,5278.83,269.32
2000-07-31,238905.02,34805.07,531.39,8582.91,5281.72,200.58,13942.89,30376.33,101867.48,37547,5518.98,250.68
2000-08-31,251237.42,35920.99,789.16,9501.51,7250.95,169.49,15418.39,29328.7,106344.05,37859.1,8390.14,264.93
2000-09-30,247289.65,33223.7,543.05,9786.69,7922.68,117.53,14171.04,26878.01,110768.36,37216.04,6421.7,240.85
2000-10-31,264980.37,39359.27,627.9,11141.75,12505.87,291.74,14917.72,29800.42,113532.95,36082.04,6355.87,364.83
2000-11-30,269181.89,38759.27,658.02,10198.41,10414.46,330.51,14984.4,28056.62,119721.48,36994.4,8842.51,221.83
2000-12-31,259518.36,35939.79,690.02,10474.64,13608.14,316.55,13592.3,26899.87,113827.78,36513.51,7219.2,436.56
2001-01-31,222427.49,31723.17,562.63,8068.96,6763.37,160.66,13122.49,24383.27,97702.98,33346.19,6272.96,320.8
