date,Imports,Food,Beverages and tobacco,Crude materials,Mineral fuel and lubricant,Animal and vegetable oils and fats,Chemicals,Manufactured goods,Machinery,Miscellaneous manufactured goods,Miscellaneous transactions and commodities,Gold
1995-01-31,127785.87,4633.16,684.42,6937.87,8366.12,136.19,13293.54,24915.07,58773.25,7079.16,1811.48,1155.6
1995-02-28,126632.4,3723.75,780.33,6964.68,8386.25,148.87,12552.44,24613.73,60043.01,7255.01,1177.62,986.73
1995-03-31,157329.48,4822.65,924.63,7720.63,12051.75,124.96,15863.66,28509.54,75707.24,9087.57,1444.56,1072.29
1995-04-30,127089.42,3275.7,586.08,6530.93,10789.17,125.16,15077.88,24641.79,57482.53,6789.25,1091.26,699.67
1995-05-31,155144.15,4403.76,390.66,8419.12,10242.29,188.2,17617.48,31661.41,71261.69,8638.07,1455.61,865.85
1995-06-30,151487.65,4294.24,337.55,7339.37,12530.92,171.13,17159.05,28897.06,69130.88,9334.02,1536.83,756.59
1995-07-31,151950.65,5208.6,329.79,7209.55,8373.71,128.9,17046.8,30291.49,72206.59,8811.42,1437.05,906.75
1995-08-31,157913.31,5103.86,424.97,7981.14,8585.02,168.23,17831.91,29869.83,75822.86,9053.8,1815.67,1256.02
1995-09-30,137973.68,4332.42,353.29,5930.75,9725.12,152.21,14814.23,26893.04,64449.63,7951.4,2353.72,1017.86
1995-10-31,153564.82,4811.34,484.64,7572.2,9059.55,266.25,15062.22,31005.68,73441.55,8701.32,2016.47,1143.58
1995-11-30,163588.17,6035.19,613.54,7272.05,8220.7,214.23,15034.45,32302.62,81344.9,9059.52,2447.71,1043.27
1995-12-31,153131.69,5354.03,624.08,6733.58,12638.34,410.95,13120.57,27091.03,75320.9,8226.87,2741.69,869.65
1996-01-31,159312.17,4699.26,715.87,7524.58,11514.41,136.34,15342.36,29211.34,77654.37,8825.84,2647.58,1040.23
1996-02-29,145548.86,4371.88,754.7,7551.94,9724.6,215.02,14526.52,26774.93,69313.1,8635.3,2849.53,831.35
1996-03-31,163127.77,5966.5,935.08,7920.76,15810.66,428.14,15450.05,30274.48,72857.71,8618.59,3843.42,1022.38
1996-04-30,160455.74,6960.45,746.46,7684.41,12355.58,199.25,16455.14,28113.14,74567.29,9737.74,2718.97,917.3
1996-05-31,163639.34,4760.61,456.65,7864.22,12168.69,165.53,16166.74,28425.49,81735.43,8378.46,2492.28,1025.24
1996-06-30,146105.94,4713.18,422.1,6239.85,12611.04,107.03,15121.23,27144.79,68169.74,8190.69,2621.6,764.68
1996-07-31,154103.03,5260.87,339.1,7247.43,12080.81,207.41,15560.94,26259.72,74535.06,9252.71,2325.88,1033.09
