date,Gross Domestic Product (CVM), Private final consumption expenditure,General government final consumption expenditure,Gross fixed capital formation,Change in inventories,Exports of goods and services,Exports of goods,Exports of services,Imports of goods and services,Imports of goods,Imports of services,Agriculture,"Agriculture, Forestry and Fishing",Non-Agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air-Conditioning Supply","Water supply; sewerage, waste management and remediation activities",Services,Construction,"Wholesale and Retail Trade, Repair of Vehicles and Personal and Household Goods","Transport, and storage",Accommodation and food service activities,Information and communication,Financial and insurance activities,Real Estate Activities,"Professional, scientific and technical activities",Administrative and support service activities,Public Administration and Defence; Compulsory Social Security,Education,Health and Social Work,"Arts, entertainment and recreation",Other Service Activities,Private Household with Employed Persons
1993-03-31,1067301,577284,111819,489903,-3129,397868,304217,91814,451456,381655,77580,103187,103187,964915,321331,19499,280005,17502,3814,642485,76170,175783,59186,46382,11314,104665,25079,15175,12949,46896,37896,19395,3863,18346,4790
1993-06-30,1039924,588187,116963,499025,-2440,397561,322313,77340,475695,396438,86182,77627,77627,965096,322261,21257,275554,20577,4277,641708,78695,180954,58366,42293,12105,106317,25485,10372,10904,44104,39658,18869,4267,19594,4832
1993-09-30,1086494,583477,137745,528543,1231,454124,375678,82445,495676,414415,88772,77709,77709,1012009,326586,24239,277961,20395,3924,684625,77148,211729,57696,44391,12250,113080,24544,12830,12586,44678,41541,17910,4272,21731,4915
1993-12-31,1147308,610574,125080,514354,30647,494639,402935,94718,595710,475013,124591,122307,122307,1024861,316758,19692,272928,19418,3979,707770,68815,220902,57532,47169,14233,115293,24469,13745,16406,49124,43870,19817,4575,23011,5007
1994-03-31,1179517,613074,128859,522250,27546,450487,360857,91117,513942,419524,99871,102949,102949,1078337,361742,22058,315576,19514,3806,715571,86324,206851,62428,45915,13546,121433,21807,12616,14473,56636,41362,20060,4736,21185,4705
1994-06-30,1146232,633997,126162,570852,-20149,458131,387974,75640,563947,452228,115781,83210,83210,1063208,342588,22321,292576,22776,4116,719742,85912,207817,63873,42057,13827,130077,23010,13725,13422,50757,42185,20542,4787,22324,4777
1994-09-30,1135828,634112,153572,574384,-10256,497235,427395,76984,585181,481920,110475,87156,87156,1049285,341970,24613,290101,22833,4229,706412,81547,212591,62450,41884,13885,120733,24969,14335,12007,46892,44415,19293,4547,19319,4831
1994-12-31,1226603,664173,124600,598532,46275,566914,475682,97182,708312,594278,125361,132925,132925,1097874,351077,23047,300223,22728,4385,745914,90005,237853,64179,45706,14788,128183,26211,16326,12087,39938,39822,19180,4576,20134,4873
1995-03-31,1265610,677165,139038,633755,-3064,539280,423385,115412,667284,552805,123543,97201,97201,1170196,384971,22863,333600,22840,4386,784240,94241,241350,68805,46436,15905,120013,26790,15623,12303,61200,45192,22288,5712,20399,4887
1995-06-30,1256367,693366,137207,618856,66374,536025,447085,94020,715691,588901,135508,91979,91979,1166146,386413,24499,329436,26656,4765,778767,95850,238062,67519,43578,16817,127376,26802,16204,13183,54856,41657,21490,5329,22812,4798
1995-09-30,1231962,683791,159073,636883,20783,570653,486831,91530,708627,596709,123962,83038,83038,1150625,391720,26299,335113,25095,4620,758008,89949,229601,64309,43812,16295,118267,28956,15848,14386,56782,43419,20438,5331,21813,4614
